# # # # # # # # # # # # # # # # # # # # # # # #
дополнительно
# # # # # # # # # # # # # # # # # # # # # # # #
Асфальт 60
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
# # # # # # # # # # # # # # # # # # # # # # # #
0.1331024170;-0.0139160156;-0.8836822510
0.1972656250;0.0292968750;-0.9999389648
0.0718383789;-0.0450286865;-1.0135192871
0.0290527344;-0.0370788574;-0.9764251709
0.0696411133;-0.0076751709;-1.0551605225
0.1350708008;-0.0322570801;-0.9988555908
0.0694885254;0.0194702148;-0.9223175049
0.1753234863;0.0159301758;-0.9908447266
0.0703582764;0.0239105225;-1.0181579590
0.0982818604;0.0073547363;-0.9600524902
0.0156097412;-0.0376739502;-0.9489593506
0.0602416992;-0.0001831055;-1.0880737305
0.0839385986;0.0408630371;-0.9551696777
0.1566467285;0.0176391602;-0.9279479980
0.1231994629;-0.0325622559;-1.0426635742
0.1390228271;-0.0277252197;-1.1459503174
0.0329132080;-0.0711669922;-0.9602508545
0.0405273438;0.0482635498;-0.9470520020
0.1362457275;-0.0525817871;-0.9787139893
0.0342712402;-0.0221099854;-0.9498138428
0.0809936523;0.0142974854;-0.9931945801
0.0650482178;-0.0881195068;-1.0297698975
0.0200805664;0.0043640137;-1.0911712646
0.0736083984;0.0470581055;-1.0883178711
0.1502227783;-0.0142059326;-0.9391479492
0.0316925049;-0.0405120850;-0.8716888428
0.1428375244;0.0492095947;-1.2110748291
0.4313201904;-0.1202697754;-1.4028320312
0.1920013428;-0.1660003662;-1.1613006592
0.1525268555;0.0487976074;-1.3791503906
0.1392669678;-0.0829772949;-1.3029937744
0.1484375000;-0.1610107422;-1.2254028320
