# # # # # # # # # # # # # # # # # # # # # # # #
грунт
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 4096, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
# # # # # # # # # # # # # # # # # # # # # # # #
0.1590270996;-0.0690155029;-0.9335632324
0.0990142822;-0.0067138672;-1.0184173584
0.0971984863;0.0725097656;-1.1380310059
0.1485290527;-0.0865936279;-0.9417419434
0.0583953857;0.0479888916;-1.0311584473
0.0492706299;0.1916198730;-1.0377044678
0.1207733154;-0.0994262695;-0.9725952148
0.1201782227;0.0949707031;-1.0166931152
0.1213378906;0.0026092529;-0.9928283691
0.1038360596;-0.1808929443;-1.0146026611
0.0299682617;0.1787414551;-1.2329864502
0.1419372559;-0.0440216064;-1.0532073975
0.0974884033;0.2583465576;-0.9422149658
0.1276550293;0.0242767334;-1.0437316895
0.1217193604;0.0004425049;-1.0944519043
-0.0713348389;0.0333251953;-1.1925811768
0.2138061523;0.0138244629;-0.9692382812
0.1439056396;-0.0309753418;-0.9038391113
0.0138244629;0.2891693115;-1.0168609619
0.1009674072;0.0605010986;-1.1003570557
0.0272827148;-0.0045471191;-0.9689483643
0.1262359619;0.2389221191;-0.9760131836
0.1453399658;-0.2413482666;-0.8670349121
0.1028442383;0.0235900879;-0.9882202148
-0.0093383789;0.2690429688;-0.9553070068
0.1012725830;0.1330718994;-0.7467193604
0.1255035400;-0.1020660400;-0.8245849609
-0.0222320557;0.0587158203;-1.0071716309
0.1986389160;-0.0496673584;-1.0914764404
0.2053833008;0.1693267822;-0.9028778076
0.1123657227;0.0023651123;-0.8943786621
0.0159759521;0.1678771973;-0.9721832275
0.0078277588;0.0791931152;-1.0954284668
0.1226654053;0.0747375488;-1.0421142578
0.1775665283;-0.1202087402;-1.0123748779
0.1954498291;0.1217956543;-1.0014495850
0.0064849854;0.1568756104;-1.0491180420
0.1051940918;0.0340576172;-1.1282043457
0.0314636230;0.0372467041;-1.1350402832
