# # # # # # # # # # # # # # # # # # # # # # # #
Дополнительно
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 4096, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
# # # # # # # # # # # # # # # # # # # # # # # #
0.2312774658;0.0529174805;-0.9237670898
0.1137847900;-0.0993041992;-0.9557342529
0.1336517334;0.0022430420;-0.9677429199
0.1273651123;0.0393676758;-0.8814392090
0.1997528076;0.1558837891;-0.8428497314
0.1189270020;0.0583648682;-0.9112701416
0.0856933594;-0.0422210693;-0.7877807617
-0.0944061279;-0.0370178223;-0.6921081543
0.1124267578;-0.1075744629;-0.8862915039
0.2668151855;-0.0587463379;-1.2279510498
0.2916717529;-0.0868377686;-0.9769744873
0.2608795166;0.0879516602;-1.0724945068
0.1392059326;-0.2074127197;-1.0145721436
0.0068359375;-0.0925140381;-1.1496887207
0.1494598389;-0.1950225830;-1.0847320557
0.1970367432;-0.1911621094;-0.9772491455
0.2292175293;-0.0245666504;-0.9631500244
0.2316284180;-0.0829315186;-1.1253509521
0.1536407471;-0.0368194580;-1.1087036133
0.0301818848;0.1178894043;-1.0608367920
0.0692749023;-0.1396331787;-0.7449188232
0.0995941162;0.0197601318;-0.9553222656
0.2136077881;-0.2540283203;-1.0840454102
0.3572692871;0.0375671387;-1.2906036377
0.3267211914;0.1143798828;-1.0892639160
0.2484283447;0.0164031982;-1.1032409668
0.1046447754;-0.1690216064;-1.1275329590
0.0654907227;0.0119171143;-1.0494995117
0.0954589844;-0.2667999268;-0.8577270508
0.2042999268;-0.1293029785;-1.1808319092
0.2097778320;-0.0325164795;-1.3204803467
0.5234527588;0.2375488281;-1.1063995361
0.4852905273;0.1533813477;-0.7253417969
0.1709136963;0.0137023926;-1.1995391846
-0.0951080322;-0.2616424561;-1.3889617920
0.0470123291;-0.2292480469;-1.3016052246
0.2209930420;-0.3634643555;-0.9122009277
0.3039855957;0.0707855225;-0.8999786377
0.2259216309;-0.0211791992;-1.1276550293
0.1548614502;-0.0561065674;-1.2446441650
0.0100555420;-0.1809082031;-1.1994171143
0.0846557617;-0.2489318848;-1.1901092529
0.1834869385;-0.2605895996;-1.0542602539
0.2278747559;-0.1140899658;-1.1025085449
0.1576843262;-0.0051727295;-0.8140106201
0.2115173340;0.4293212891;-0.8235778809
0.2961578369;-0.0556945801;-0.8059997559
0.1234893799;-0.3872375488;-1.2081451416
-0.2327575684;-0.4250030518;-1.3901062012
0.1118011475;-0.1733856201;-1.2733764648
0.2354431152;-0.2758026123;-0.6903076172
0.2244567871;0.0871734619;-0.8337707520
0.0079956055;0.2010803223;-0.7788848877
0.1019897461;-0.0646820068;-0.8875122070
-0.0334777832;-0.3921966553;-1.0604400635
0.0171966553;-0.1674041748;-1.0413360596
0.1394500732;-0.0397491455;-0.8450927734
0.1754455566;0.0425109863;-0.6666412354
-0.0171813965;0.2932434082;-0.8895111084
0.1318664551;-0.0139770508;-0.7071228027
0.1247253418;-0.0885772705;-0.8495330811
-0.0105895996;-0.2201232910;-0.9465026855
0.1049346924;-0.0117187500;-0.9249267578
0.1283111572;0.0211029053;-0.6103668213
0.1622009277;0.2509765625;-0.7198791504
0.1063842773;-0.0289459229;-0.7896728516
0.1619873047;-0.0827789307;-0.9216003418
0.0815429688;-0.2465515137;-0.8943023682
0.0847473145;-0.0819549561;-1.0167846680
0.1144714355;-0.0981140137;-0.8320159912
0.1870117188;0.0645904541;-0.8981933594
0.1277770996;-0.0608062744;-0.8427886963
0.1553955078;0.0101165771;-0.8798217773
0.0614318848;-0.2014770508;-0.7977600098
0.1559753418;0.0912170410;-0.9576873779
0.0532836914;-0.1777038574;-0.8633575439
0.1167602539;0.1376800537;-0.8038940430
0.1582946777;0.0676269531;-0.8324584961
0.2228088379;0.0593109131;-0.8354949951
0.1445465088;-0.0254516602;-0.9125823975
0.0838775635;-0.0795135498;-0.9641113281
0.0704803467;0.0378723145;-1.0108489990
0.1678161621;0.0648040771;-0.8397827148
0.1512908936;0.1083526611;-0.8738708496
0.1344604492;-0.0124053955;-0.9080657959
0.1076049805;-0.0366516113;-1.0724792480
0.1020965576;-0.1060638428;-0.9910583496
0.1212921143;0.0010223389;-1.0325622559
0.1613464355;-0.0534057617;-0.8890380859
0.1996612549;0.1162109375;-1.0526428223
0.1239471436;-0.1059570312;-0.9636230469
0.2092895508;0.0237579346;-1.1191253662
0.1261138916;-0.1414031982;-1.0081939697
0.1832580566;0.0778350830;-1.0800933838
0.1330718994;-0.1363830566;-0.9800415039
0.1998748779;0.0459289551;-1.0932922363
0.0994110107;-0.1674957275;-0.9574279785
0.1852569580;0.0593719482;-1.0442810059
0.0363006592;-0.0126190186;-0.8099060059
0.0647125244;0.2478942871;-0.9979248047
0.2245483398;-0.1773986816;-1.0018005371
0.2540283203;0.0370635986;-1.1464233398
0.0794219971;-0.0042114258;-0.9535064697
0.2153778076;0.0081176758;-1.0646972656
0.0467987061;-0.0939941406;-1.0596618652
0.2690582275;-0.0433197021;-1.1537933350
0.1793212891;-0.0506591797;-1.0047912598
0.1919097900;-0.1398010254;-1.0798339844
0.1916809082;-0.0781555176;-1.2489166260
0.1506500244;-0.1212463379;-1.1666259766
0.2510681152;-0.1772766113;-1.0938262939
0.2384338379;-0.0998382568;-1.1189117432
0.2686004639;-0.2242279053;-1.2243499756
0.1939086914;-0.1846466064;-1.0250701904
0.2030181885;-0.0443878174;-1.1986999512
0.2575683594;-0.2195281982;-1.1342163086
0.3259582520;-0.0315399170;-1.2436370850
0.1458740234;-0.2349395752;-1.0395812988
0.1708374023;-0.0470886230;-1.0642395020
0.0177307129;-0.3457794189;-0.9869232178
0.2049407959;0.0837707520;-1.0828094482
0.2001342773;-0.1240844727;-0.9246673584
0.3253784180;0.1266632080;-1.0384674072
0.1472167969;-0.2683563232;-0.9861907959
0.2625885010;0.2594451904;-1.1124420166
0.1340484619;-0.0691680908;-0.8401336670
0.1801605225;-0.0980224609;-0.9243011475
0.0401000977;-0.1432647705;-0.9990386963
0.1740570068;0.0314483643;-0.9542083740
0.2046966553;0.0294799805;-0.8767547607
0.1750946045;-0.3986053467;-1.1660766602
0.0954895020;0.1742553711;-1.1778259277
0.1119689941;-0.2467041016;-0.9197235107
0.1714477539;-0.2584686279;-0.9163970947
0.1530609131;-0.1784667969;-1.1902313232
0.2232513428;-0.2548370361;-1.0699462891
0.1289215088;-0.1036682129;-0.9994659424
0.0646667480;-0.0756988525;-1.0606994629
0.1861267090;-0.2499847412;-0.9594573975
0.2814025879;-0.0146179199;-1.1203918457
0.0509490967;-0.3589172363;-1.0007781982
0.1367492676;-0.0625457764;-1.2603302002
0.0888671875;-0.2267150879;-1.0500335693
0.2110443115;0.0230865479;-0.8524932861
0.1736297607;0.0205078125;-0.8047180176
0.2204589844;0.1220245361;-0.8924713135
0.0590057373;-0.1863098145;-0.8688201904
0.0420684814;0.1263580322;-1.0197296143
0.1240234375;-0.0663757324;-0.9590301514
0.2201385498;-0.1445770264;-1.0185699463
