# # # # # # # # # # # # # # # # # # # # # # # #
11 окт. 2021 г., 15:4
# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer, Axis: XYZ, Size: 2960, Y-axis: g, Sampling rate: 99.418 Hz, FFT Size: 64, Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 2960
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
# # # # # # # # # # # # # # # # # # # # # # # #
0.0738220215;-0.0180206299;-0.9615325928
0.0706176758;-0.0244140625;-0.9699096680
0.0550842285;-0.0124511719;-1.0413208008
0.0680236816;0.0026245117;-1.0176849365
0.0654907227;-0.0312347412;-0.9516906738
0.0676269531;-0.0155944824;-1.0114135742
0.0499877930;0.0006256104;-1.0302429199
0.0714721680;-0.0180664062;-0.9615325928
0.0657653809;-0.0191040039;-0.9925994873
0.0508880615;-0.0112457275;-1.0338897705
0.0641479492;0.0026550293;-0.9892425537
0.0662841797;-0.0285491943;-0.9557647705
0.0635833740;-0.0114898682;-1.0327911377
0.0497894287;0.0035095215;-1.0290222168
0.0707550049;-0.0220184326;-0.9440307617
0.0728759766;-0.0191497803;-0.9962921143
0.0506439209;-0.0076446533;-1.0454406738
0.0675048828;0.0013122559;-0.9926300049
0.0621185303;-0.0274353027;-0.9518890381
0.0634918213;-0.0120697021;-1.0247344971
0.0564270020;0.0057983398;-1.0245819092
0.0677032471;-0.0220336914;-0.9542388916
0.0694427490;-0.0148620605;-1.0011901855
0.0492248535;-0.0073699951;-1.0364685059
0.0730590820;-0.0033721924;-0.9770202637
0.0710449219;-0.0246582031;-0.9652099609
0.0640258789;-0.0120697021;-1.0388183594
0.0545043945;0.0069885254;-1.0156097412
0.0701293945;-0.0287780762;-0.9421386719
0.0758666992;-0.0155792236;-1.0119628906
0.0488128662;-0.0069274902;-1.0480346680
0.0708160400;-0.0061645508;-0.9779357910
0.0668334961;-0.0262756348;-0.9655456543
0.0591125488;-0.0138702393;-1.0324554443
0.0607910156;0.0053405762;-1.0187225342
0.0661773682;-0.0281524658;-0.9469909668
0.0686798096;-0.0153503418;-1.0157928467
0.0479888916;-0.0066986084;-1.0355224609
0.0715332031;-0.0119781494;-0.9630432129
0.0663909912;-0.0255889893;-0.9759063721
0.0547180176;-0.0123291016;-1.0424804688
0.0597076416;0.0040740967;-1.0080871582
0.0653381348;-0.0317993164;-0.9396820068
0.0709686279;-0.0171051025;-1.0206146240
0.0476531982;-0.0021667480;-1.0413360596
0.0699157715;-0.0159759521;-0.9595794678
0.0650634766;-0.0229492188;-0.9746246338
0.0543060303;-0.0153656006;-1.0359649658
0.0638885498;0.0042266846;-1.0059051514
0.0653686523;-0.0300292969;-0.9520111084
0.0679779053;-0.0144195557;-1.0259399414
0.0509948730;-0.0026245117;-1.0345153809
0.0725555420;-0.0184783936;-0.9522552490
0.0712585449;-0.0193328857;-0.9881591797
0.0537414551;-0.0091400146;-1.0456085205
