# # # # # # # # # # # # # # # # # # # # # # # #
щебень переход на асфальт
# # # # # # # # # # # # # # # # # # # # # # # #
25 км/ч
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
# # # # # # # # # # # # # # # # # # # # # # # #
0.1088409424;-0.0109863281;-1.0374603271
0.0754089355;-0.0448150635;-0.9761810303
0.0991210938;0.0123291016;-1.0274047852
0.0568695068;-0.0733184814;-0.9705657959
0.0920867920;0.0140380859;-0.9959259033
0.0681304932;-0.1147460938;-0.9880828857
0.0423431396;-0.0101470947;-0.9965515137
0.0899810791;-0.0053863525;-1.0159149170
0.0667419434;-0.0844116211;-0.9178771973
0.0856323242;0.0359954834;-1.0497436523
0.1122894287;-0.0695343018;-1.0223846436
0.0576934814;0.0016174316;-0.9811401367
0.0680084229;-0.0396728516;-1.0144805908
0.0438842773;-0.0010375977;-0.9752197266
0.1181793213;0.0282135010;-0.9750976562
0.0769500732;-0.0717010498;-0.9209136963
0.0611572266;0.0509338379;-1.0520782471
0.1130218506;-0.0469207764;-1.0147552490
0.0643310547;0.0158843994;-0.9313812256
0.1114349365;-0.0050048828;-1.0498046875
0.0640258789;-0.0343170166;-1.0271301270
0.0808715820;0.0258789062;-1.0103454590
0.0792541504;-0.0802917480;-0.9671173096
0.0710144043;-0.0028991699;-1.0393066406
0.1200408936;-0.0724639893;-1.0457916260
0.0647277832;-0.0401000977;-0.9707794189
0.0993957520;0.0103759766;-1.0502624512
0.0832366943;-0.0875244141;-0.9975891113
0.0905609131;0.0157470703;-1.0342712402
0.1133117676;-0.1016082764;-1.0215911865
0.0662078857;-0.0160217285;-1.0332031250
0.1091003418;-0.0412139893;-1.0324096680
0.0945281982;-0.0740661621;-0.9593963623
0.1283569336;0.0227508545;-1.0240020752
0.1251220703;-0.1224670410;-0.9736785889
0.0793304443;-0.0047607422;-1.0106048584
0.0990142822;-0.0704956055;-1.0276184082
0.0821075439;-0.0228118896;-0.9652404785
0.1415100098;-0.0139617920;-0.9956054688
0.0984191895;-0.1126556396;-0.9854125977
0.0762481689;0.0198516846;-1.0356597900
0.0898284912;-0.1286468506;-0.9974517822
0.0549621582;-0.0125732422;-0.9815979004
0.1312255859;0.0006103516;-1.0218200684
0.0913391113;-0.1143341064;-0.9589538574
0.0978393555;0.0425109863;-1.0275268555
0.0497894287;-0.1479034424;-0.9964599609
0.0258789062;-0.0018310547;-1.0050659180
0.0988616943;-0.0582580566;-1.0138854980
0.0710754395;-0.0572814941;-0.9687957764
0.1095123291;0.0234985352;-1.0137023926
0.0812530518;-0.1016845703;-0.9675445557
0.0319366455;0.0106964111;-1.0095977783
0.0751190186;-0.0844268799;-1.0161285400
0.0487670898;-0.0321197510;-0.9519195557
0.1140289307;0.0332183838;-0.9957427979
0.0979919434;-0.0702667236;-0.9388580322
0.0707550049;0.0491180420;-1.0064697266
0.1017608643;-0.0757904053;-1.0463714600
